.\gitmap\clonefrom\validate.go|39|fmt.Errorf|return constants.CSVColumnURL, fmt.Errorf(constants.ErrCloneFromEmptyURL)
.\gitmap\clonefrom\validate.go|42|fmt.Errorf|return constants.CSVColumnURL, fmt.Errorf(constants.ErrCloneFromBadURL, r.URL)
.\gitmap\clonefrom\validate.go|45|fmt.Errorf|return constants.CSVColumnDepth, fmt.Errorf(constants.ErrCloneFromNegDepth, r.Depth)
.\gitmap\clonefrom\validate.go|48|fmt.Errorf|return constants.CSVColumnBranch, fmt.Errorf(constants.ErrCloneFromBadBranch, r.Branch)
.\gitmap\clonefrom\validate.go|51|fmt.Errorf|return constants.CSVColumnCheckout, fmt.Errorf(constants.ErrCloneFromBadCheckout, r.Checkout)
.\gitmap\clonefrom\validate.go|64|bare bool return|func isValidBranchName(s string) bool {
.\gitmap\clonefrom\validate.go|80|bare bool return|func isValidCheckout(v string) bool {
.\gitmap\clonefrom\validate.go|104|bare bool return|func looksLikeGitURL(s string) bool {
.\gitmap\clonefrom\validate.go|115|bare bool return|func hasGitScheme(s string) bool {
.\gitmap\clonefrom\validate.go|132|bare bool return|func looksLikeSCP(s string) bool {
.\gitmap\clonenext\batch.go|60|raw error return|func LoadBatchFromCSV(path string) ([]string, error) {
.\gitmap\clonenext\batch.go|113|raw error return|func readAllCSVRows(r io.Reader) ([][]string, error) {
.\gitmap\clonenext\batch.go|164|bare bool return|func looksLikeHeader(row []string) bool {
.\gitmap\clonenext\batch.go|187|raw error return|func WalkBatchFromDir(root string) ([]string, error) {
.\gitmap\clonenext\github.go|16|raw error return|func RepoExists(owner, repo string) (bool, error) {
.\gitmap\clonenext\github.go|16|bare bool return|func RepoExists(owner, repo string) (bool, error) {
.\gitmap\clonenext\github.go|21|fmt.Errorf|return false, fmt.Errorf("create request: %w", err)
.\gitmap\clonenext\github.go|32|fmt.Errorf|return false, fmt.Errorf("check repo existence: %w", err)
.\gitmap\clonenext\github.go|43|fmt.Errorf|return false, fmt.Errorf("GitHub API returned %d checking %s/%s", resp.StatusCode, owner, repo)
.\gitmap\clonenext\github.go|49|raw error return|func CreateRepo(owner, repoName string, private bool) error {
.\gitmap\clonenext\github.go|49|bare bool return|func CreateRepo(owner, repoName string, private bool) error {
.\gitmap\clonenext\github.go|52|fmt.Errorf|return fmt.Errorf("no GitHub token available — set GITHUB_TOKEN or run `gh auth login`")
.\gitmap\clonenext\github.go|66|raw error return|func createOrgRepo(org, repoName string, private bool, token string) error {
.\gitmap\clonenext\github.go|66|bare bool return|func createOrgRepo(org, repoName string, private bool, token string) error {
.\gitmap\clonenext\github.go|73|raw error return|func createUserRepo(repoName string, private bool, token string) error {
.\gitmap\clonenext\github.go|73|bare bool return|func createUserRepo(repoName string, private bool, token string) error {
.\gitmap\clonenext\github.go|80|raw error return|func postCreateRepo(apiURL, repoName string, private bool, token string) error {
.\gitmap\clonenext\github.go|80|bare bool return|func postCreateRepo(apiURL, repoName string, private bool, token string) error {
.\gitmap\clonenext\github.go|88|fmt.Errorf|return fmt.Errorf("marshal repo payload: %w", err)
.\gitmap\clonenext\github.go|93|fmt.Errorf|return fmt.Errorf("create request: %w", err)
.\gitmap\clonenext\github.go|102|fmt.Errorf|return fmt.Errorf("create repo: %w", err)
.\gitmap\clonenext\github.go|112|fmt.Errorf|return fmt.Errorf("GitHub API error %d: %s", resp.StatusCode, string(body))
.\gitmap\clonenext\github.go|117|raw error return|func ParseOwnerRepo(remoteURL string) (string, string, error) {
.\gitmap\clonenext\github.go|127|fmt.Errorf|return "", "", fmt.Errorf("unrecognized remote URL format: %s", remoteURL)
.\gitmap\clonenext\github.go|132|fmt.Errorf|return "", "", fmt.Errorf("invalid SSH remote URL: %s", remoteURL)
.\gitmap\clonenext\github.go|138|fmt.Errorf|return "", "", fmt.Errorf("invalid SSH remote path: %s", remoteURL)
.\gitmap\clonenext\github.go|144|raw error return|func parseHttpsOwnerRepo(url, remoteURL string) (string, string, error) {
.\gitmap\clonenext\github.go|147|fmt.Errorf|return "", "", fmt.Errorf("invalid HTTPS remote URL: %s", remoteURL)
.\gitmap\clonenext\localstate.go|34|raw error return|func ReadLocalRepoState(repoPath string) (LocalRepoState, error) {
.\gitmap\clonenext\localstate.go|50|raw error return|func resolveGitDir(repoPath string) (string, error) {
.\gitmap\clonenext\localstate.go|54|fmt.Errorf|return "", fmt.Errorf("%w: %s", ErrNotAGitRepo, repoPath)
.\gitmap\clonenext\localstate.go|65|raw error return|func resolveWorktreeGitDir(dotGitFile string) (string, error) {
.\gitmap\clonenext\localstate.go|68|fmt.Errorf|return "", fmt.Errorf(constants.ErrCloneNextReadWorktree, dotGitFile, err)
.\gitmap\clonenext\localstate.go|75|fmt.Errorf|return "", fmt.Errorf(constants.ErrCloneNextMalformedGitDir, dotGitFile)
.\gitmap\clonenext\remoteupdate.go|44|raw error return|func CheckRemoteForUpdate(owner string, parsed ParsedRepo, ceiling int) (RemoteUpdateCheck, error) {
.\gitmap\clonenext\remoteupdate.go|50|raw error return|func checkRemoteForUpdateWith(owner string, parsed ParsedRepo, ceiling int, probe repoExistsFn) (RemoteUpdateCheck, error) {
.\gitmap\clonenext\remoteupdate.go|79|raw error return|func probeHighestSibling(owner string, parsed ParsedRepo, ceiling int, probe repoExistsFn) (int, error) {
.\gitmap\clonenext\remoteupdate.go|84|fmt.Errorf|return highest, fmt.Errorf("probe %s/%s-v%d: %w", owner, parsed.BaseName, m, err)
